\kV04QwBsTM6sDQTCAAAB,LqQidHNoA7k4KGRpAAAA Round1 6/17/2019 21:18:45 url(https://dl.dropboxusercontent.com/s/rezl3nie29wsxc0/goal7.jpg?dl=0)
kV04QwBsTM6sDQTCAAAB,LqQidHNoA7k4KGRpAAAA Round2 6/17/2019 21:19:51 url(https://dl.dropboxusercontent.com/s/jo4snmnr4xm7bhb/goal13.jpg?dl=0)
kV04QwBsTM6sDQTCAAAB,LqQidHNoA7k4KGRpAAAA Round3 6/17/2019 21:20:27 url(https://dl.dropboxusercontent.com/s/wbx1h1pvq25ek84/goal15.jpg?dl=0)
kV04QwBsTM6sDQTCAAAB,LqQidHNoA7k4KGRpAAAA Round4 6/17/2019 21:20:50 url(https://dl.dropboxusercontent.com/s/jdnnw9xu53nj137/goal14.jpg?dl=0)
kV04QwBsTM6sDQTCAAAB,LqQidHNoA7k4KGRpAAAA Round5 6/17/2019 21:21:18 url(https://dl.dropboxusercontent.com/s/xynz1shtnsptn5s/goal8.jpg?dl=0)
kV04QwBsTM6sDQTCAAAB,LqQidHNoA7k4KGRpAAAA Round6 6/17/2019 21:21:44 url(https://dl.dropboxusercontent.com/s/00nciu7fdb9ofl4/goal3.jpg?dl=0)
kV04QwBsTM6sDQTCAAAB,LqQidHNoA7k4KGRpAAAA Round8 6/17/2019 21:22:45 url(https://dl.dropboxusercontent.com/s/z99nwf00r4iqnke/goal16.jpg?dl=0)
kV04QwBsTM6sDQTCAAAB,LqQidHNoA7k4KGRpAAAA Round9 6/17/2019 21:23:14 url(https://dl.dropboxusercontent.com/s/5dku1tg85lvst7m/goal5.jpg?dl=0)
kV04QwBsTM6sDQTCAAAB,LqQidHNoA7k4KGRpAAAA Round10 6/17/2019 21:23:35 url(https://dl.dropboxusercontent.com/s/gaih37mz3ba1tb6/goal18.jpg?dl=0)
kV04QwBsTM6sDQTCAAAB,LqQidHNoA7k4KGRpAAAA Round11 6/17/2019 21:24:00 url(https://dl.dropboxusercontent.com/s/bosx64sitp3nybo/goal12.jpg?dl=0)
kV04QwBsTM6sDQTCAAAB,LqQidHNoA7k4KGRpAAAA Round12 6/17/2019 21:24:28 url(https://dl.dropboxusercontent.com/s/al5x7niv8e47a2a/goal9.jpg?dl=0)
kV04QwBsTM6sDQTCAAAB,LqQidHNoA7k4KGRpAAAA Round13 6/17/2019 21:24:52 url(https://dl.dropboxusercontent.com/s/uc412cjdy769srj/goal10.jpg?dl=0)
kV04QwBsTM6sDQTCAAAB,LqQidHNoA7k4KGRpAAAA Round15 6/17/2019 21:25:49 url(https://dl.dropboxusercontent.com/s/szdqzeiuqa4i6kn/goal2.jpg?dl=0)
kV04QwBsTM6sDQTCAAAB,LqQidHNoA7k4KGRpAAAA Round16 6/17/2019 21:26:09 url(https://dl.dropboxusercontent.com/s/aradyxnpmw50n82/goal1.jpg?dl=0)
kV04QwBsTM6sDQTCAAAB,LqQidHNoA7k4KGRpAAAA Round17 6/17/2019 21:26:32 url(https://dl.dropboxusercontent.com/s/gokjyvcdfay08v4/goal17.jpg?dl=0)
kV04QwBsTM6sDQTCAAAB,LqQidHNoA7k4KGRpAAAA Round18 6/17/2019 21:26:47 url(https://dl.dropboxusercontent.com/s/1lgyaxvlsbv1ddf/goal11.jpg?dl=0)
kV04QwBsTM6sDQTCAAAB,LqQidHNoA7k4KGRpAAAA Round19 6/17/2019 21:27:06 url(https://dl.dropboxusercontent.com/s/6oymjpqrpqg1a2p/goal4.jpg?dl=0)
kV04QwBsTM6sDQTCAAAB,LqQidHNoA7k4KGRpAAAA Round20 6/17/2019 21:27:29 url(https://dl.dropboxusercontent.com/s/ta0h4asgy53sokz/goal6.jpg?dl=0)

